video_id,event_time,price,bull_words,bear_words,narrative_polarity,SRCluster,BreakRetestScore,PatternPressure,MomentumExhaustion,VolConfirmScore,InvalidationDistance,NarrativeConsistency,target_24h,target_72h
gD60D9KOAQg,2026-02-05 13:00:00,69688.94,39,71,-0.2909090882644628,-0.006472476120314036,2.0,0.09,-1.2090355402339759,0.24083791931370122,7.274754252901282,0.2909090882644628,-0.034038686770095694,0.026199709738733423
ip_jqtiSPy0,2026-02-05 13:00:00,69688.94,59,51,0.0727272720661157,-0.006472476120314036,2.0,0.11999999999999988,-1.2090355402339759,0.24083791931370122,6.071125281908951,-0.0727272720661157,-0.034038686770095694,0.026199709738733423
dh15o1nmvlg,2026-02-05 13:00:00,69688.94,10,70,-0.7499999906250001,-0.006472476120314036,2.0,-0.31,-1.2090355402339759,0.24083791931370122,3.435592879908503,0.7499999906250001,-0.034038686770095694,0.026199709738733423
OjyPJlxhA8g,2026-02-05 13:00:00,69688.94,49,93,-0.3098591527474708,-0.006472476120314036,2.0,-0.18,-1.2090355402339759,0.24083791931370122,15.783165944398792,0.3098591527474708,-0.034038686770095694,0.026199709738733423
mN4hkz8aUbE,2026-02-05 13:00:00,69688.94,20,84,-0.6153846094674557,-0.006472476120314036,2.0,0.0,-1.2090355402339759,0.24083791931370122,6.4654175310271285,0.6153846094674557,-0.034038686770095694,0.026199709738733423
shZ30NqqKUI,2026-02-05 13:00:00,69688.94,31,91,-0.49180327465735024,-0.006472476120314036,2.0,0.07999999999999999,-1.2090355402339759,0.24083791931370122,11.217676744083054,0.49180327465735024,-0.034038686770095694,0.026199709738733423
UOMdIQA7Kvo,2026-02-05 13:00:00,69688.94,30,78,-0.44444444032921815,-0.006472476120314036,2.0,-0.06000000000000005,-1.2090355402339759,0.24083791931370122,3.124309525341521,0.44444444032921815,-0.034038686770095694,0.026199709738733423
o6n50KVMy_M,2026-02-12 13:00:00,68376.58,17,40,-0.40350876485072346,-0.00016807655486728886,-1.91979065821903,0.84,-0.7298208806966773,-0.07397306945936269,3.802313878470954,-0.40350876485072346,-0.01612291811026534,0.008093706938837819
nGgkXD_ggQk,2026-02-12 13:00:00,68376.58,46,73,-0.22689075439587603,-0.00016807655486728886,-1.91979065821903,2.16,-0.7298208806966773,-0.07397306945936269,4.7608385173449586,-0.22689075439587603,-0.01612291811026534,0.008093706938837819
-5IUAjhq8DU,2026-02-12 13:00:00,68376.58,35,89,-0.4354838674557753,-0.00016807655486728886,-1.91979065821903,1.2399999999999998,-0.7298208806966773,-0.07397306945936269,12.91435582349169,-0.4354838674557753,-0.01612291811026534,0.008093706938837819
3aoTSiJT3us,2026-02-12 13:00:00,68376.58,85,61,0.16438356051792083,-0.00016807655486728886,-1.91979065821903,0.31999999999999995,-0.7298208806966773,-0.07397306945936269,0.10846664813498573,0.16438356051792083,-0.01612291811026534,0.008093706938837819
95dOSupo47s,2026-02-12 13:00:00,68376.58,18,70,-0.590909084194215,-0.00016807655486728886,-1.91979065821903,0.96,-0.7298208806966773,-0.07397306945936269,3.3038810662564715,-0.590909084194215,-0.01612291811026534,0.008093706938837819
GeqCM9uBfe4,2026-02-12 13:00:00,68376.58,26,79,-0.5047618999546486,-0.00016807655486728886,-1.91979065821903,1.2,-0.7298208806966773,-0.07397306945936269,4.070700777355675,-0.5047618999546486,-0.01612291811026534,0.008093706938837819
LBF2Xj5CPig,2026-02-12 13:00:00,68376.58,33,104,-0.5182481713996484,-0.00016807655486728886,-1.91979065821903,0.09,-0.7298208806966773,-0.07397306945936269,4.095929145850846,-0.5182481713996484,-0.01612291811026534,0.008093706938837819
p4AlRVd1lng,2026-02-13 13:00:00,67274.15,1,4,-0.599999880000024,-0.006585739098896128,-0.5124884193512851,0.0,0.6343291613529857,0.9234094578024623,2.3415260768982056,0.599999880000024,0.032491677709789,0.016662417882649105
QE6bRXt3eJk,2026-02-14 13:00:00,69460.0,44,55,-0.11111110998877667,-0.00033069392456091515,2.0,1.92,-0.3297817924490849,-3.0,6.146858821968535,-0.11111110998877667,-0.007630290814857443,-0.019056435358479784
Mg30mOQx4nw,2026-02-15 13:00:00,68930.0,13,24,-0.2972972892622354,-0.0019527056434064387,2.0,1.2,-0.49531422042468903,-1.2697685724643872,0.5431728553736438,0.2972972892622354,-0.007760046423908262,-0.02456288988829236
ylPMyoD0tiw,2026-02-16 13:00:00,68395.1,24,92,-0.5862068914982165,-0.0004389203320121481,2.0,-1.02,-0.18584536958907846,-1.4914318486122058,3.5479488783563107,0.5862068914982165,-0.003783311962406777,-0.036285201717667026
LCMsRZnxUKk,2026-02-17 13:00:00,68136.34,22,60,-0.4634146284949436,-0.0007286860433066141,2.0,0.24,-0.7197327025401534,0.05137038520754945,0.3169692689698227,0.4634146284949436,-0.013200885166417708,-0.019588959430459574
I-g3y_xkLgI,2026-02-18 13:00:00,67236.88,14,73,-0.6781609117452769,-0.0008511697746831191,2.0,-0.12000000000000005,-0.19280384104576626,0.12961201160417324,10.278878935905198,0.6781609117452769,-0.01968428636188957,0.01521650023023069
WB3bdXWZKoc,2026-02-19 13:00:00,65913.37,35,72,-0.34579438929164125,-0.0006579848671065574,2.0,0.36,-0.4308366474397798,-1.348505379007075,1.4892637859868092,0.34579438929164125,0.013476021632636837,0.026383266399518268
